mz,RT,intensity,intensity_cor,species
275,4.63,11658,11658,0
831.3,14.37,11634,11634,0
1401,17.33,11587,11587,0
1062.7,15.44,11414,11414,0
1265.2,3.52,11359,11359,0
434.8,3.8,11354,11354,0
244.4,7.8,11340,11340,0
760.7,22.04,11330,11330,0
408.3,19.2,11316,11316,0
852.7,4.27,11281,11281,0
238.7,12.74,11254,11254,0
511.3,6.39,11200,11200,0
259.1,3.63,11158,11158,0
421.3,16.5,11137,11137,0
439.3,11.8,11113,11113,0
1287.4,9.52,11084,11084,0
958.6,14.99,11067,11067,0
854.5,14.38,11062,11062,0
553.3,13.45,10992,10992,0
916.2,10.75,10982,10982,0
1499.2,4.32,10977,10977,0
731.5,12.07,10942,10942,0
1187.1,10.14,10933,10933,0
841.5,21.65,10912,10912,0
865.3,14.97,10856,10856,0
1324.1,12.03,10827,10827,0
521.8,3.14,10817,10817,0
803.8,9.5,10812,10812,0
1233.3,4.13,10808,10808,0
256.6,13.94,10758,10758,0
524.2,12.83,10757,10757,0
809.8,13.94,10719,10719,0
1250.7,10.3,10671,10671,0
971.3,10.08,10665,10665,0
1055.7,15.83,10571,10571,0
837.3,29.06,10558,10558,0
539.8,12.95,10557,10557,0
624.4,5.13,10553,10553,0
608.8,8.01,10548,10548,0
231.9,9.7,10527,10527,0
345.4,8.38,10519,10519,0
1212.5,7.9,10503,10503,0
827.2,21.96,10488,10488,0
610.2,25.67,10434,10434,0
408.3,19.66,10423,10423,0
1492.1,7.57,10410,10410,0
495.2,4,10401,10401,0
856,22.31,10378,10378,0
430.1,4.47,10323,10323,0
326.1,13.48,10320,10320,0
1133.7,15.7,10294,10294,0
1463.4,12.67,10195,10195,0
835.5,19.18,10062,10062,0
657.5,19.99,10042,10042,0
934.5,19.4,10022,10022,0
970.6,15.75,10006,10006,0
717.8,21.18,10005,10005,0
1300.8,19.86,220079,220079,0
1301.8,19.88,181604,181604,0
1314.8,20.1,154787,154787,0
843.5,13.57,134600,134600,0
1315.8,20.1,130986,130986,0
1345.8,19.83,100025,100025,0
1346.8,19.85,94467,94467,0
458,11.05,84854,84854,0
841.5,13.76,82422,82422,0
1359.8,20.07,82005,82005,0
730.5,12,75786,75786,0
1302.8,19.87,75761,75761,0
844.5,13.6,74535,74535,0
1360.8,20.12,67356,67356,0
1322.7,19.87,66617,66617,0
1316.8,20.1,57890,57890,0
1323.8,19.87,57571,57571,0
1322.8,19.9,54207,54207,0
842.5,13.76,48182,48182,0
1302.7,19.98,46023,46023,0
1336.8,20.07,42763,42763,0
744.5,12.67,40131,40131,0
1347.8,19.83,39860,39860,0
865.3,15.37,37750,37750,0
865.3,15.37,37750,37750,0
888.5,15.17,37669,37669,0
401.6,9.52,36204,36204,0
954.6,15.4,35782,35782,0
552.4,13.56,34811,34811,0
1337.7,20.15,34567,34567,0
730.5,12.24,31783,31783,0
1361.8,20.12,31539,31539,0
731.5,11.98,30436,30436,0
458.4,11.02,30387,30387,0
955.7,15.38,29276,29276,0
1324.7,19.84,29041,29041,0
843.3,15.16,27303,27303,0
1474.4,29.95,27191,27191,0
956.6,15.21,27103,27103,0
857.5,14.35,27044,27044,0
1303.8,19.87,26843,26843,0
439.3,13.59,26704,26704,0
420.1,8.27,26702,26702,0
439.3,11.97,26616,26616,0
1329.8,20.38,25749,25749,0
1328.8,20.39,25662,25662,0
844.5,13.85,25197,25197,0
881.3,7.46,24005,24005,0
976.1,11.87,22905,22905,0
439.4,13.63,22513,22513,0
653.5,14.76,22328,22328,0
845.5,13.55,22187,22187,0
1203.7,19.68,21484,21484,0
458,11.28,21467,21467,0
326.2,13.57,21448,21448,0
1346.7,20.12,20986,20986,0
866.3,15.51,20777,20777,0
427.3,6.05,20331,20331,0
1415.9,9.18,20157,20157,0
603.4,7.43,20064,20064,0
1317.7,20.14,19346,19346,0
745.5,12.64,19344,19344,0
843.3,15.47,19040,19040,0
858.6,14.31,18874,18874,0
889.4,15.18,18656,18656,0
580.3,6.25,18448,18448,0
942.5,14.32,18219,18219,0
1286.8,19.51,18106,18106,0
1407.2,29.6,17971,17971,0
445.4,5.99,17896,17896,0
332.3,9.25,17592,17592,0
730.8,5.78,17531,17531,0
844.3,15.21,17462,17462,0
408.3,10.15,17271,17271,0
712.3,6.53,17249,17249,0
1386.2,7.12,17182,17182,0
553.5,13.61,17003,17003,0
1338.7,20.03,17001,17001,0
1279.1,9.1,16668,16668,0
498.8,4.88,16147,16147,0
